MType;MType2;h(kpc);re(kpc);Blg/T;M/Lbu;M/Ld;Mblg(Msun);Mdisk(Msun)
classical   ;unbarred    ; 4.573; 1.070; 0.272;1.9e+00;9.6e-01;1.5e+10;2.0e+10
barred      ;classical   ; 2.326; 1.023; 0.458;3.0e+00;1.4e+00;3.6e+10;1.7e+10
elliptical  ;unbarred    ;      ; 4.711; 1.000;2.1e+00;       ;8.7e+10;
barred      ;pseudo-bulge; 2.521; 0.580; 0.091;6.1e-01;1.0e+00;8.3e+08;1.3e+10
pseudo-bulge;unbarred    ; 1.463; 0.778; 0.081;8.5e-17;5.0e-01;1.2e-07;8.4e+09
barred      ;classical   ; 5.039; 0.931; 0.129;2.1e+00;1.0e+00;1.6e+10;5.0e+10
elliptical  ;unbarred    ;      ; 2.609; 1.000;1.5e+00;       ;3.0e+10;
elliptical  ;unbarred    ;      ; 2.503; 1.000;1.2e+00;       ;1.2e+10;
barred      ;pseudo-bulge; 1.655; 0.489; 0.158;6.4e-01;8.4e-01;7.8e+08;4.5e+09
barred      ;pseudo-bulge; 3.434; 0.643; 0.079;8.2e-01;7.3e-01;1.0e+09;1.0e+10
classical   ;unbarred    ; 3.096; 0.557; 0.155;1.6e+00;9.5e-01;5.0e+09;1.6e+10
classical   ;unbarred    ; 2.266; 1.449; 0.707;1.8e+00;1.7e+00;3.1e+10;1.3e+10
barred      ;pseudo-bulge; 2.765; 0.427; 0.050;1.4e+00;5.6e-01;8.2e+08;5.3e+09
barred      ;classical   ; 2.394; 0.612; 0.255;8.9e-01;1.7e+00;2.2e+09;1.0e+10
elliptical  ;unbarred    ;      ; 4.142; 1.000;1.5e+00;       ;4.8e+10;
classical   ;unbarred    ; 1.530; 0.464; 0.143;1.3e+00;1.5e+00;3.4e+09;2.3e+10
classical   ;unbarred    ; 4.241; 1.137; 0.142;3.1e+00;6.2e-01;2.1e+10;2.6e+10
elliptical  ;unbarred    ;      ; 3.705; 1.000;1.6e+00;       ;3.8e+10;
classical   ;unbarred    ; 3.371; 1.226; 0.431;1.5e+00;1.7e+00;1.5e+10;2.3e+10
elliptical  ;unbarred    ;      ; 6.568; 1.000;1.9e+00;       ;1.3e+11;
classical   ;unbarred    ; 3.079; 1.201; 0.249;1.4e+00;1.6e+00;8.8e+09;3.1e+10
barred      ;classical   ; 5.322; 1.133; 0.355;2.0e+00;1.8e+00;2.4e+10;3.2e+10
barred      ;classical   ; 3.712; 0.701; 0.223;1.0e+00;8.9e-01;6.5e+09;1.7e+10
barred      ;classical   ; 4.189; 0.997; 0.190;2.1e+00;1.4e+00;1.2e+10;2.9e+10
classical   ;unbarred    ; 2.657; 1.969; 0.472;1.8e+00;1.3e+00;2.6e+10;2.2e+10
elliptical  ;unbarred    ;      ; 2.979; 1.000;1.3e+00;       ;2.3e+10;
elliptical  ;unbarred    ;      ; 3.192; 1.000;1.6e+00;       ;3.5e+10;
bulgeless   ;unbarred    ; 2.819;      ; 0.000;       ;7.1e-01;       ;1.2e+10
barred      ;classical   ; 1.437; 0.554; 0.205;1.1e+00;9.9e-01;2.8e+09;8.2e+09
barred      ;classical   ; 4.629; 0.762; 0.113;2.1e+00;1.1e+00;6.8e+09;2.5e+10
elliptical  ;unbarred    ;      ; 3.059; 1.000;1.2e+00;       ;3.1e+10;
barred      ;classical   ; 2.731; 1.223; 0.383;1.4e+00;1.9e+00;1.5e+10;3.0e+10
bulgeless   ;unbarred    ; 2.222;      ; 0.000;       ;5.3e-01;       ;1.2e+10
pseudo-bulge;unbarred    ; 5.528; 0.845; 0.064;1.1e+00;7.6e-01;2.5e+09;2.6e+10
barred      ;classical   ; 2.933; 1.298; 0.524;1.8e+00;9.2e-01;3.2e+10;1.2e+10
barred      ;classical   ; 3.616; 1.151; 0.154;2.1e+00;1.3e+00;1.4e+10;4.1e+10
barred      ;pseudo-bulge; 1.716; 0.498; 0.182;9.8e-01;1.4e+00;1.5e+09;9.1e+09
classical   ;unbarred    ; 2.708; 1.142; 0.709;1.4e+00;1.8e+00;1.4e+10;7.5e+09
classical   ;unbarred    ; 3.831; 0.899; 0.101;1.3e+00;7.5e-01;4.9e+09;2.6e+10
bulgeless   ;unbarred    ; 2.751;      ; 0.000;       ;1.4e+00;       ;1.5e+10
elliptical  ;unbarred    ;      ; 4.546; 1.000;1.6e+00;       ;1.0e+11;
elliptical  ;unbarred    ;      ; 5.179; 1.000;1.7e+00;       ;9.3e+10;
barred      ;classical   ; 2.740; 0.609; 0.347;6.1e-01;7.6e-01;2.7e+09;5.6e+09
pseudo-bulge;unbarred    ; 3.688; 0.832; 0.036;1.7e+01;6.7e-01;2.9e+10;3.0e+10
classical   ;unbarred    ; 2.234; 1.084; 0.503;1.6e+00;1.8e+00;1.1e+10;1.3e+10
barred      ;classical   ; 7.817; 1.080; 0.090;2.7e+00;8.3e-01;2.0e+10;6.0e+10
barred      ;classical   ; 3.360; 1.123; 0.325;1.7e+00;1.3e+00;1.1e+10;1.4e+10
pseudo-bulge;unbarred    ; 1.963; 1.335; 0.166;3.0e-01;1.1e+00;4.4e+08;8.0e+09
elliptical  ;unbarred    ;      ; 3.955; 1.000;2.4e+00;       ;9.1e+10;
pseudo-bulge;unbarred    ; 1.991; 0.670; 0.184;6.7e-01;1.5e+00;8.1e+08;7.9e+09
elliptical  ;unbarred    ;      ; 4.164; 1.000;1.6e+00;       ;6.8e+10;
barred      ;classical   ; 5.220; 1.425; 0.387;1.8e+00;1.2e+00;1.9e+10;1.5e+10
classical   ;unbarred    ; 3.199; 1.021; 0.468;1.9e+00;1.3e+00;1.4e+10;1.1e+10
barred      ;pseudo-bulge; 1.916; 0.439; 0.055;2.0e+00;9.1e-01;1.2e+09;8.4e+09
barred      ;pseudo-bulge; 3.189; 0.646; 0.131;1.5e+00;1.0e+00;3.0e+09;1.3e+10
classical   ;unbarred    ; 5.049; 0.993; 0.127;1.8e+00;9.3e-01;1.3e+10;4.8e+10
elliptical  ;unbarred    ;      ; 4.230; 1.000;1.8e+00;       ;7.0e+10;
elliptical  ;unbarred    ;      ; 4.591; 1.000;1.6e+00;       ;7.7e+10;
elliptical  ;unbarred    ;      ; 2.799; 1.000;1.4e+00;       ;4.6e+10;
elliptical  ;unbarred    ;      ; 1.795; 1.000;1.4e+00;       ;1.5e+10;
barred      ;classical   ; 1.652; 0.347; 0.188;1.1e+00;1.6e+00;1.5e+09;8.0e+09
barred      ;pseudo-bulge; 3.942; 0.594; 0.066;2.1e+00;9.8e-01;3.0e+09;1.7e+10
barred      ;classical   ; 3.335; 0.836; 0.406;7.0e-01;1.2e+00;7.5e+09;1.4e+10
classical   ;unbarred    ; 2.138; 0.754; 0.396;1.7e+00;2.0e+00;7.1e+09;1.3e+10
classical   ;unbarred    ; 1.744; 0.871; 0.534;2.9e+00;1.1e+00;1.2e+10;4.2e+09
barred      ;pseudo-bulge; 3.912; 0.757; 0.042;2.7e+00;1.6e+00;4.1e+09;5.3e+10
classical   ;unbarred    ; 1.942; 0.784; 0.316;1.0e+00;1.2e+00;3.3e+09;8.3e+09
elliptical  ;unbarred    ;      ; 5.048; 1.000;2.1e+00;       ;1.2e+11;
classical   ;unbarred    ; 1.969; 1.226; 0.635;1.7e+00;1.2e+00;1.9e+10;8.0e+09
classical   ;unbarred    ; 5.549; 0.996; 0.203;4.8e+00;6.0e-01;3.3e+10;1.6e+10
barred      ;classical   ; 5.534; 0.790; 0.070;1.9e+00;8.8e-01;5.9e+09;3.3e+10
classical   ;unbarred    ; 2.745; 1.151; 0.513;2.2e+00;1.6e+00;2.8e+10;2.0e+10
barred      ;classical   ; 2.752; 0.630; 0.222;2.9e+00;1.8e+00;9.8e+09;1.7e+10
barred      ;classical   ; 5.058; 1.280; 0.387;3.0e+00;2.2e+00;5.3e+10;5.1e+10
barred      ;pseudo-bulge; 2.501; 0.843; 0.135;2.2e+00;1.2e+00;5.3e+09;1.7e+10
elliptical  ;unbarred    ;      ; 3.091; 1.000;1.8e+00;       ;3.9e+10;
classical   ;unbarred    ; 4.377; 1.371; 0.351;3.1e+00;1.4e+00;3.5e+10;3.1e+10
classical   ;unbarred    ; 2.279; 0.927; 0.803;2.1e+00;8.5e-01;2.4e+10;2.4e+09
classical   ;unbarred    ; 2.503; 1.158; 0.324;1.2e+01;1.7e+00;1.1e+11;3.4e+10
barred      ;pseudo-bulge; 2.419; 0.597; 0.037;1.3e+01;5.2e-01;9.6e+09;9.7e+09
barred      ;pseudo-bulge; 2.445; 0.575; 0.072;1.9e+01;1.6e+00;1.5e+10;1.5e+10
barred      ;classical   ; 3.158; 1.327; 0.394;3.1e+00;1.5e+00;3.1e+10;2.0e+10
elliptical  ;unbarred    ;      ; 5.676; 1.000;2.7e+00;       ;1.9e+11;
barred      ;classical   ; 2.248; 0.864; 0.302;2.4e+00;1.4e+00;1.4e+10;1.5e+10
classical   ;unbarred    ; 1.096; 0.508; 0.425;1.5e+00;1.7e+00;3.4e+09;5.2e+09
elliptical  ;unbarred    ;      ; 3.495; 1.000;1.4e+00;       ;3.2e+10;
unbarred    ;            ; 2.031; 0.863; 0.000;8.6e-01;1.7e+00;4.2e+09;1.4e+10
barred      ;pseudo-bulge; 2.795; 0.517; 0.084;1.3e+00;1.4e+00;1.1e+09;9.6e+09
pseudo-bulge;unbarred    ; 2.782; 0.771; 0.106;2.2e+00;1.1e+00;4.1e+09;1.7e+10
barred      ;classical   ; 2.378; 0.800; 0.367;1.9e+00;1.4e+00;1.4e+10;1.5e+10
barred      ;classical   ; 1.377; 0.625; 0.353;1.3e+00;1.6e+00;3.8e+09;7.0e+09
elliptical  ;unbarred    ;      ; 3.777; 1.000;1.7e+00;       ;6.0e+10;
elliptical  ;unbarred    ;      ; 3.863; 1.000;1.7e+00;       ;6.9e+10;
elliptical  ;unbarred    ;      ; 4.611; 1.000;1.9e+00;       ;1.3e+11;
barred      ;classical   ; 3.992; 0.788; 0.097;1.4e+00;1.1e+00;4.7e+09;3.2e+10
barred      ;classical   ; 2.951; 0.933; 0.420;1.8e+00;9.3e-01;2.4e+10;1.5e+10
elliptical  ;unbarred    ;      ; 2.592; 1.000;1.3e+00;       ;2.5e+10;
pseudo-bulge;unbarred    ; 2.584; 1.473; 0.179;5.4e-01;1.2e+00;3.3e+09;3.3e+10
pseudo-bulge;unbarred    ; 3.893; 0.813; 0.063;2.7e+00;7.8e-01;3.8e+09;1.6e+10
elliptical  ;unbarred    ;      ; 4.436; 1.000;1.9e+00;       ;7.4e+10;
barred      ;classical   ; 6.245; 0.779; 0.135;4.0e+00;2.0e+00;2.2e+10;6.7e+10
classical   ;unbarred    ; 2.449; 1.182; 0.692;2.2e+00;1.4e+00;4.0e+10;1.2e+10
barred      ;classical   ; 4.230; 0.904; 0.128;2.3e+00;1.6e+00;8.1e+09;3.4e+10
pseudo-bulge;unbarred    ; 4.659; 0.869; 0.075;2.5e+00;5.1e-01;4.8e+09;1.2e+10
classical   ;unbarred    ; 4.810; 2.017; 0.378;2.6e+00;2.0e+00;7.7e+10;9.7e+10
elliptical  ;unbarred    ;      ; 3.076; 1.000;1.5e+00;       ;3.6e+10;
classical   ;unbarred    ; 4.137; 1.874; 0.565;7.5e-01;4.3e-01;2.2e+10;9.6e+09
classical   ;unbarred    ; 2.950; 1.522; 0.641;2.2e+00;1.4e+00;5.8e+10;2.0e+10
barred      ;classical   ; 3.385; 0.633; 0.104;9.6e-01;5.7e-01;2.4e+09;1.2e+10
elliptical  ;unbarred    ;      ; 2.375; 1.000;1.3e+00;       ;2.0e+10;
elliptical  ;unbarred    ;      ; 2.434; 1.000;1.7e+00;       ;2.1e+10;
barred      ;classical   ; 3.158; 0.686; 0.173;1.5e+00;1.1e+00;8.3e+09;2.7e+10
classical   ;unbarred    ; 2.388; 0.847; 0.149;1.0e+00;8.8e-01;3.7e+09;1.8e+10
classical   ;unbarred    ; 3.532; 1.076; 0.252;2.4e+00;1.2e+00;2.3e+10;3.2e+10
classical   ;unbarred    ; 2.685; 0.667; 0.121;1.2e+00;6.3e-01;3.0e+09;1.1e+10
barred      ;classical   ; 6.490; 0.872; 0.099;1.7e+00;1.0e+00;7.2e+09;3.3e+10
classical   ;unbarred    ; 2.069; 0.935; 0.419;1.6e+00;1.0e+00;5.7e+09;5.3e+09
elliptical  ;unbarred    ;      ; 3.355; 1.000;1.2e+00;       ;4.5e+10;
classical   ;unbarred    ; 3.749; 1.108; 0.159;2.9e+00;8.8e-01;1.6e+10;2.5e+10
barred      ;pseudo-bulge; 4.239; 0.634; 0.019;5.3e-01;6.7e-01;2.9e+08;1.7e+10
barred      ;classical   ; 3.000; 1.275; 0.423;1.5e+00;1.2e+00;1.9e+10;1.8e+10
elliptical  ;unbarred    ;      ; 5.429; 1.000;2.2e+00;       ;1.2e+11;
elliptical  ;unbarred    ;      ; 4.464; 1.000;2.1e+00;       ;8.4e+10;
elliptical  ;unbarred    ;      ; 4.483; 1.000;2.0e+00;       ;7.8e+10;
barred      ;classical   ; 2.281; 1.083; 0.292;1.1e+00;1.2e+00;7.9e+09;1.5e+10
elliptical  ;unbarred    ;      ; 3.689; 1.000;1.6e+00;       ;5.8e+10;
classical   ;unbarred    ; 2.133; 1.129; 0.480;9.6e-01;1.3e+00;7.4e+09;1.1e+10
barred      ;classical   ; 4.721; 0.667; 0.089;1.4e+00;1.1e+00;6.8e+09;5.1e+10
classical   ;unbarred    ; 2.267; 1.477; 0.492;1.2e+00;9.9e-01;1.4e+10;1.1e+10
elliptical  ;unbarred    ;      ; 3.649; 1.000;1.6e+00;       ;6.0e+10;
classical   ;unbarred    ; 3.210; 1.904; 0.635;6.3e-01;1.7e+00;2.5e+10;3.9e+10
barred      ;classical   ; 2.422; 0.599; 0.157;1.1e+00;9.8e-01;4.4e+09;2.0e+10
barred      ;classical   ; 2.602; 0.998; 0.339;3.0e+00;1.3e+00;3.7e+10;3.0e+10
classical   ;unbarred    ; 3.136; 1.255; 0.511;1.0e+00;1.0e+00;2.5e+10;2.3e+10
barred      ;classical   ; 2.701; 0.532; 0.131;2.1e+00;7.7e-01;5.0e+09;1.1e+10
pseudo-bulge;unbarred    ; 2.982; 0.553; 0.103;9.1e-01;9.0e-01;1.1e+09;9.1e+09
elliptical  ;unbarred    ;      ; 2.275; 1.000;1.6e+00;       ;1.7e+10;
elliptical  ;unbarred    ;      ; 2.591; 1.000;1.6e+00;       ;2.8e+10;
classical   ;unbarred    ; 2.138; 0.812; 0.497;1.9e+00;2.7e+00;3.2e+10;4.6e+10
barred      ;pseudo-bulge; 2.765; 0.828; 0.106;3.9e+01;8.7e-01;8.2e+10;1.4e+10
elliptical  ;unbarred    ;      ; 3.446; 1.000;2.5e+00;       ;5.4e+10;
barred      ;classical   ; 4.557; 0.962; 0.228;2.1e+00;1.7e+00;1.9e+10;4.9e+10
classical   ;unbarred    ; 3.014; 0.762; 0.158;4.7e+00;9.4e-01;2.5e+10;2.7e+10
classical   ;unbarred    ; 4.314; 1.700; 0.553;5.0e+00;1.8e+00;1.3e+11;3.7e+10
barred      ;classical   ; 4.308; 0.975; 0.251;2.6e+00;1.6e+00;2.1e+10;3.2e+10
pseudo-bulge;unbarred    ; 3.100; 1.222; 0.289;3.4e+00;9.5e-01;1.7e+10;1.2e+10
pseudo-bulge;unbarred    ; 3.273; 0.654; 0.056;3.7e+00;1.2e+00;2.5e+09;1.3e+10
classical   ;unbarred    ; 3.583; 1.003; 0.525;1.0e+00;2.8e+00;7.9e+09;1.9e+10
elliptical  ;unbarred    ;      ; 2.748; 1.000;2.3e+00;       ;3.9e+10;
pseudo-bulge;unbarred    ; 2.574; 0.700; 0.071;3.2e+00;7.4e-01;3.5e+09;1.1e+10
barred      ;classical   ; 3.531; 1.270; 0.242;4.1e+00;1.4e+00;2.9e+10;3.0e+10
barred      ;pseudo-bulge; 4.723; 0.928; 0.064;5.8e+00;9.2e-01;1.2e+10;2.7e+10
barred      ;classical   ; 2.966; 0.873; 0.377;1.7e+00;2.4e+00;1.5e+10;3.1e+10
classical   ;unbarred    ; 1.468; 0.526; 0.497;1.9e+00;1.8e+00;8.3e+09;8.2e+09
barred      ;pseudo-bulge; 1.452; 0.495; 0.195;1.1e+00;1.6e+00;1.7e+09;8.7e+09
