MType;MType2;h(kpc);re(kpc);Blg/T;M/Lbu;M/Ld;Mblg(Msun);Mdisk(Msun)
barred      ;pseudo-bulge; 2.401; 1.099; 0.195;1.1e-01;2.0e+00;4.6e+08;3.2e+10
barred      ;classical   ; 4.966; 1.123; 0.251;9.3e-01;8.5e-01;1.1e+10;2.7e+10
barred      ;pseudo-bulge; 3.164; 0.331; 0.023;1.1e+00;9.9e-01;3.3e+08;1.2e+10
elliptical  ;unbarred    ;      ; 3.079; 1.000;2.8e+00;       ;8.7e+10;
pseudo-bulge;unbarred    ; 4.098; 1.215; 0.121;5.9e+00;1.8e+00;2.7e+10;5.9e+10
elliptical  ;unbarred    ;      ; 2.263; 1.000;2.2e+00;       ;2.8e+10;
elliptical  ;unbarred    ;      ; 4.823; 1.000;2.8e+00;       ;1.8e+11;
classical   ;unbarred    ; 1.214; 1.123; 0.776;2.1e+00;2.8e+00;1.6e+10;6.0e+09
pseudo-bulge;unbarred    ; 1.169; 0.915; 0.483;3.6e+00;1.6e+00;9.7e+09;4.6e+09
pseudo-bulge;unbarred    ; 2.357; 0.314; 0.019;1.5e+01;9.3e-01;3.8e+09;1.2e+10
elliptical  ;unbarred    ;      ; 4.464; 1.000;3.4e+00;       ;1.7e+11;
elliptical  ;unbarred    ;      ; 3.664; 1.000;2.9e+00;       ;7.3e+10;
pseudo-bulge;unbarred    ; 2.761; 0.297; 0.026;6.4e+00;1.4e+00;1.7e+09;1.4e+10
barred      ;classical   ; 6.306; 1.790; 0.323;2.2e+00;1.9e+00;3.7e+10;5.5e+10
elliptical  ;unbarred    ;      ; 2.185; 1.000;2.6e+00;       ;7.5e+10;
elliptical  ;unbarred    ;      ; 2.551; 1.000;2.4e+00;       ;5.9e+10;
pseudo-bulge;unbarred    ; 2.867; 0.326; 0.031;2.2e+00;5.4e-01;9.8e+08;7.5e+09
elliptical  ;unbarred    ;      ; 2.463; 1.000;2.5e+00;       ;8.5e+10;
barred      ;classical   ; 3.931; 1.160; 0.385;2.2e+00;2.7e+00;1.3e+10;2.2e+10
barred      ;pseudo-bulge; 3.546; 0.865; 0.162;9.1e+00;2.4e+00;2.2e+10;2.8e+10
elliptical  ;unbarred    ;      ; 3.115; 1.000;2.2e+00;       ;5.4e+10;
pseudo-bulge;unbarred    ; 0.831; 0.570; 0.295;8.3e-01;2.6e+00;1.4e+09;1.0e+10
pseudo-bulge;unbarred    ; 5.032; 0.756; 0.042;5.1e+00;8.8e-01;8.1e+09;3.2e+10
barred      ;classical   ; 2.414; 1.272; 0.303;8.5e-01;7.9e-01;5.6e+09;9.8e+09
classical   ;unbarred    ; 1.628; 1.421; 0.741;2.1e+00;1.8e+00;3.3e+10;1.0e+10
elliptical  ;unbarred    ;      ; 3.392; 1.000;1.3e+00;       ;1.7e+10;
pseudo-bulge;unbarred    ; 2.022; 0.534; 0.114;1.1e+00;9.9e-01;1.4e+09;1.0e+10
classical   ;unbarred    ; 2.202; 0.710; 0.265;1.2e+00;1.6e+00;3.0e+09;1.1e+10
barred      ;classical   ; 3.213; 0.593; 0.229;4.8e+00;9.6e-01;3.1e+10;1.9e+10
barred      ;classical   ; 6.309; 1.135; 0.183;4.6e+00;1.6e+00;2.6e+10;3.6e+10
elliptical  ;unbarred    ;      ; 1.744; 1.000;1.2e+00;       ;2.4e+10;
classical   ;unbarred    ; 1.544; 0.706; 0.326;1.8e+00;1.5e+00;4.7e+09;7.9e+09
barred      ;classical   ; 8.770; 1.573; 0.162;1.8e+00;3.7e-01;2.3e+10;2.1e+10
elliptical  ;unbarred    ;      ; 4.294; 1.000;2.2e+00;       ;9.9e+10;
barred      ;classical   ; 1.266; 0.624; 0.393;1.0e+00;1.3e+00;2.7e+09;4.3e+09
classical   ;unbarred    ; 2.138; 2.191; 0.709;4.4e+00;8.3e-01;1.0e+11;7.9e+09
pseudo-bulge;unbarred    ; 2.700; 1.324; 0.159;4.0e-01;1.6e+00;1.9e+09;3.9e+10
barred      ;pseudo-bulge; 2.565; 0.672; 0.123;4.0e+01;2.0e+00;5.3e+10;1.7e+10
barred      ;classical   ; 2.303; 0.858; 0.512;2.1e+00;2.0e+00;1.4e+10;8.8e+09
barred      ;pseudo-bulge; 1.938; 0.327; 0.018;2.3e+00;9.0e-01;3.9e+08;7.2e+09
elliptical  ;unbarred    ;      ; 1.337; 1.000;1.6e+00;       ;2.0e+10;
barred      ;classical   ; 2.122; 0.707; 0.619;2.1e+00;1.0e+00;2.2e+10;5.0e+09
pseudo-bulge;unbarred    ; 1.480; 0.691; 0.298;9.6e-01;1.7e+00;1.9e+09;7.9e+09
elliptical  ;unbarred    ;      ; 1.617; 1.000;1.9e+00;       ;2.1e+10;
classical   ;unbarred    ; 2.309; 0.883; 0.794;3.2e+00;4.1e-01;2.9e+10;9.9e+08
elliptical  ;unbarred    ;      ; 2.913; 1.000;2.6e+00;       ;7.4e+10;
classical   ;unbarred    ; 3.448; 1.883; 0.729;2.3e+00;1.7e+00;4.8e+10;1.3e+10
elliptical  ;unbarred    ;      ; 3.525; 1.000;3.1e+00;       ;2.1e+11;
pseudo-bulge;unbarred    ; 2.440; 2.174; 0.491;2.1e+00;2.4e+00;2.2e+10;2.6e+10
barred      ;pseudo-bulge; 3.614; 0.901; 0.138;1.7e+00;1.5e+00;3.8e+09;2.1e+10
elliptical  ;unbarred    ;      ; 3.405; 1.000;2.1e+00;       ;4.4e+10;
elliptical  ;unbarred    ;      ; 3.194; 1.000;2.7e+00;       ;1.6e+11;
elliptical  ;unbarred    ;      ; 3.818; 1.000;2.6e+00;       ;1.1e+11;
barred      ;classical   ; 4.017; 1.245; 0.483;2.1e+00;2.0e+00;2.7e+10;2.2e+10
classical   ;unbarred    ; 2.058; 1.234; 0.511;1.2e+00;5.6e+00;1.2e+10;5.4e+10
barred      ;pseudo-bulge; 3.571; 0.461; 0.036;1.2e+00;7.8e-01;1.2e+09;2.0e+10
pseudo-bulge;unbarred    ; 1.988; 0.888; 0.387;1.5e+00;1.6e+00;3.6e+09;5.9e+09
barred      ;classical   ; 6.043; 1.051; 0.218;2.8e+00;1.4e+00;3.9e+10;6.8e+10
elliptical  ;unbarred    ;      ; 2.272; 1.000;2.3e+00;       ;6.7e+10;
barred      ;pseudo-bulge; 1.123; 0.242; 0.401;5.3e+00;1.6e+00;1.2e+09;4.3e+08
pseudo-bulge;unbarred    ; 3.024; 0.595; 0.065;8.5e-01;8.1e-01;4.6e+08;6.3e+09
elliptical  ;unbarred    ;      ; 1.827; 1.000;1.8e+00;       ;1.9e+10;
barred      ;classical   ; 2.948; 0.699; 0.366;3.2e+00;1.7e+00;3.4e+10;2.7e+10
barred      ;pseudo-bulge; 3.577; 0.585; 0.043;2.6e+00;1.9e+00;2.7e+09;4.2e+10
elliptical  ;unbarred    ;      ; 3.305; 1.000;3.2e+00;       ;1.0e+11;
elliptical  ;unbarred    ;      ; 1.468; 1.000;1.5e+00;       ;2.3e+10;
pseudo-bulge;unbarred    ; 3.378; 1.413; 0.189;3.2e+00;1.1e+00;1.3e+10;2.0e+10
elliptical  ;unbarred    ;      ; 2.509; 1.000;2.2e+00;       ;4.3e+10;
pseudo-bulge;unbarred    ; 5.199; 1.528; 0.212;2.9e+00;1.0e+00;1.8e+10;2.4e+10
classical   ;unbarred    ; 2.238; 0.720; 0.430;3.2e+00;2.8e+00;2.5e+10;2.9e+10
barred      ;pseudo-bulge; 2.661; 0.390; 0.107;7.3e-01;9.2e-01;7.5e+08;7.2e+09
