h(kpc) re(kpc) B/T   Mb(Msun) Md(Msun)
2.499  0.797  0.359 1.6e+10 3.0e+10
3.566  1.547  0.251 1.6e+10 1.9e+10
1.975  1.122  0.560 2.3e+10 1.4e+10
2.900  1.310  0.313 1.9e+10 2.4e+10
2.306  0.867  0.391 2.0e+10 1.7e+10
0      1.675  1.000 2.5e+10 0
2.877  2.051  0.410 3.6e+10 3.3e+10
0      2.003  1.000 2.2e+10 0
0      1.169  1.000 8.6e+09 0
3.191  0.540  0.047 6.3e+08 7.7e+09
2.733  0.794  0.378 3.2e+10 1.5e+10
3.700  1.132  0.263 1.7e+10 7.4e+10
2.041  0.535  0.118 1.0e+09 8.4e+09
0      2.544  1.000 9.3e+10 0
4.951  0.848  0.083 8.8e+09 4.3e+10
1.113  0.705  0.684 9.8e+09 2.5e+09
1.983  1.111  0.649 3.6e+10 6.3e+09
2.335  0.632  0.094 2.2e+09 9.2e+09
0      2.389  1.000 3.2e+10 0
3.201  1.572  0.638 2.7e+10 1.6e+10
3.202  0.393  0.046 3.6e+08 1.1e+10
1.825  0.274  0.043 9.1e+08 7.7e+09
1.068  0.478  0.445 7.2e+09 4.5e+09
0      1.099  1.000 1.2e+10 0
1.600  0.666  0.134 2.9e+09 8.1e+09
2.075  1.470  0.534 2.9e+10 1.7e+10
3.052  1.130  0.419 1.9e+10 2.2e+10
0      3.296  1.000 8.5e+10 0
0      1.614  1.000 1.9e+10 0
0      4.319  1.000 1.7e+11 0
2.301  0.503  0.281 8.0e+09 1.4e+10
1.833  0.539  0.133 2.8e+09 1.3e+10
2.665  0.325  0.024 2.0e+08 1.0e+10
2.079  0.856  0.470 9.6e+09 1.7e+10
3.000  0.471  0.034 1.6e+09 1.0e+10
2.146  0.424  0.051 3.4e+09 9.5e+09
2.638  0.519  0.052 3.5e+08 1.2e+10
0      2.120  1.000 3.4e+10 0
0      2.602  1.000 5.5e+10 0
0      3.790  1.000 5.4e+10 0
3.179  1.798  0.654 7.0e+10 4.2e+10
2.112  1.592  0.701 1.7e+10 7.7e+09
2.443  1.696  0.773 4.5e+10 6.8e+09
4.149  0.643  0.073 1.2e+10 3.5e+10
2.664  0.806  0.375 5.7e+09 1.3e+10
3.722  1.671  0.529 3.7e+10 5.7e+10
3.112  1.178  0.243 1.3e+10 2.8e+10
2.889  1.084  0.524 7.3e+10 2.2e+10
3.110  0.790  0.185 6.5e+09 2.3e+10
1.998  0.986  0.507 1.4e+10 1.9e+10
3.329  0.777  0.217 2.3e+10 2.1e+10
4.017  1.299  0.499 4.2e+10 3.3e+10
2.297  1.059  0.440 3.5e+10 1.4e+10
2.011  0.388  0.087 2.4e+09 9.5e+09
3.680  0.716  0.052 1.5e+09 8.1e+09
1.455  0.721  0.555 1.4e+10 5.8e+09
2.055  0.549  0.197 1.5e+09 1.1e+10
3.978  0.839  0.085 9.7e+09 2.7e+10
2.252  1.134  0.662 3.4e+10 1.6e+10
2.029  0      0.000 0       3.1e+09
2.685  0.557  0.052 4.2e+08 1.1e+10
0      2.194  1.000 3.1e+10 0
2.897  0.561  0.071 1.4e+09 8.5e+09
3.437  1.925  0.504 6.6e+10 3.1e+10
3.205  0.752  0.202 7.7e+09 1.8e+10
2.526  1.294  0.630 2.2e+10 2.0e+10
3.440  0.770  0.081 5.0e+09 2.6e+10
3.742  0.629  0.044 7.2e+08 7.7e+09
3.233  1.185  0.479 2.5e+10 2.6e+10
2.764  0.763  0.089 2.0e+09 1.2e+10
1.243  0.800  0.512 4.5e+09 8.6e+09
0      2.964  1.000 7.4e+10 0
0      2.047  1.000 1.4e+10 0
